model,k,metric,observed_mean,observed_std
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5397458268584352,0.22544173816694385
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5397458268584352,0.22544173816694385
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5397458268584352,0.22544173816694385
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.7198515568340104,0.2525603499809397
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.6505697749576228,0.19307166688933425
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5711081179819837,0.18299639730616504
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.7648881681424097,0.22628495026444334
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6654054570220975,0.14971498693799282
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5700803203811322,0.11893925834435269
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.8346338970384052,0.19546867434562795
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.7101228798065019,0.12255222435851242
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.6139329920467239,0.12152945593431308
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8746879558827867,0.1654140366819549
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7458026326048984,0.11719388838216897
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6490295815295815,0.12046095435900243
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.9046415367846434,0.16167432782932206
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7809488037388828,0.1118883846253984
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7115809555941135,0.13479102869029722
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.912217294360401,0.16245242187876685
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.8051305055830564,0.11300245612758893
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.748470414819099,0.13637564100125552
